,lsoa_code,lsoa_name_1,lsoa_name_2,middle_layer_super_output_area_msoa_code,middle_layer_super_output_area_msoa_name,local_authority_la_code,local_authority_la_name,rural_urban_settlement_classification_ru_code,rural_urban,rural_urban_settlement_classification_ru_name,built_up_area_bua_code,built_up_area_bua_name,economic_region_economic_action_plan_area_eap_code,number_of_children_0_to_5_2020,number_of_births_2020_to_mothers_24_and_under_years,number_of_births_2020_to_mothers_25_to_34_years,number_of_births_2020_to_mothers_35_and_over_years,total_number_of_births_2020,population_2020_all_ages,birth_rate_per_1000_2020,number_of_births_2019_to_mothers_24_and_under_years,number_of_births_2019_to_mothers_25_to_34_years,number_of_births_2019_to_mothers_35_and_over_years,total_number_of_births_2019,population_2019_all_ages,birth_rate_per_1000_2019,median_age_2019,number_of_births_2018_to_mothers_24_and_under_years,number_of_births_2018_to_mothers_25_to_34_years,number_of_births_2018_to_mothers_35_and_over_years,total_number_of_births_2018,population_2018_all_ages,birth_rate_per_1000_2018,number_of_births_2017_to_mothers_24_and_under_years,number_of_births_2017_to_mothers_25_to_34_years,number_of_births_2017_to_mothers_35_and_over_years,total_number_of_births_2017,population_2017_all_ages,birth_rate_per_1000_2017,wimd_decile,wimd_income_deprivation_count_0_to_4,wimd_income_domain_deciles,wimd_income_domain_people_in_income_deprivation_percentage,wimd_employment_domain_deciles,wimd_employment_domain_working_age_people_in_employment_deprivation_percentage,wimd_health_domain_deciles,wimd_health_domain_gp_recorded_chronic_condition_rate_per_100,wimd_health_domain_limiting_long_term_illness_rate_per_100,"wimd_health_domain_premature_death_rate_per_100,000",wimd_health_domain_gp_recorded_mental_health_condition_rate_per_100,"wimd_health_domain_cancer_incidence_rate_per_100,000",wimd_health_domain_low_birth_weight_live_single_births_less_than_2.5kg_percentage,wimd_health_domain_children_aged_4_to_5_who_are_obese_percentage,wimd_education_domain_deciles,wimd_education_domain_foundation_phase_average_point_score,wimd_education_domain_key_stage_2_average_point_score,wimd_education_domain_key_stage_4_average_point_score,wimd_education_domain_repeat_absenteeism_percentage,wimd_education_domain_key_stage_4_leavers_entering_higher_education_percentage,wimd_education_domain_adults_aged_25_to_64_with_no_qualifications_percentage,wimd_access_to_services_domain_deciles,wimd_access_to_services_domain_percentage_unavailability_of_broadband_at_30mb_s,wimd_access_to_services_domain_average_public_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_public_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_pharmacy_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_food_shop_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_gp_surgery_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_post_office_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_primary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_public_library_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_sports_facility_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_secondary_school_mins,wimd_access_to_services_domain_average_private_return_travel_time_to_a_petrol_station_mins,wimd_housing_domain_deciles,wimd_housing_domain_people_in_overcrowded_households_percentage,wimd_housing_domain_likelihood_of_poor_quality_housing_percentage,wimd_housing_domain_likelihood_of_housing_containing_serious_hazards_percentage,wimd_housing_domain_likelihood_of_housing_being_in_disrepair_percentage,wimd_physical_environment_domain_deciles,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_no2,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates_<_10_µm,wimd_physical_environment_domain_population_weighted_average_concentration_value_for_particulates_<_2.5_µm,wimd_physical_environment_domain_households_at_risk_of_flooding_score,wimd_physical_environment_domain_proximity_to_accessible_natural_green_space_score_percentage_of_households,wimd_physical_environment_domain_ambient_green_space_score,wimd_community_safety_domain_deciles,wimd_community_safety_domain_police_recorded_criminal_damage_rate_per_100,wimd_community_safety_domain_police_recorded_violent_crime_rate_per_100,wimd_community_safety_domain_anti_social_behaviour_rate_per_100,wimd_community_safety_domain_police_recorded_burglary_rate_per_100,wimd_community_safety_domain_police_recorded_theft_rate_per_100,wimd_community_safety_domain_fire_incidences_rate_per_100,change_birth_rates_18_to_20,change_birth_rates_17_to_20,birthrate_categories_2020,mean_fpp_score,Mean FPP Score,fpp_mean_difference,fpp_performance_vsmean,fpp_mean_difference_category
714,W01000744,Castle 3,Swansea 016B,W02000183,Swansea 016,W06000011,Swansea,C1,Urban,Large Town (Less Sparse),W38000128,Swansea BUASD,WXX000002,119,6,12,1,19,"1,631",11.65,5,12,1,18,"1,662",10.83,33.2,0,15,6,21,"1,663",12.63,3,19,3,25,"1,652",15.13,2,49.92,2,25,3,16,3,15.4,28.2,589.9,24.8,546.5,5.5,,2,95,75,116,4.9,13.1,27.4,3,0,22,20,21,26,23,36,34,37,4,3,3,6,3,8,8,9,10,2,8.65,22.8,21.3,5,3,13.8,11.5,7.9,12.1,42.8,0.1,1,2.36,5.98,4.57,1.73,1.17,0.67,Other,Other,Quintile 4,102.0890052,102,-7.089005236,Underperforming,0
1653,W01001697,Adamsdown 4,Cardiff 036D,W02000402,Cardiff 036,W06000015,Cardiff,C1,Urban,Large Town (Less Sparse),W38000130,Cardiff BUASD,WXX000003,100,1,15,4,20,"1,658",12.06,3,11,6,20,"1,632",12.25,34,3,13,3,19,"1,619",11.74,2,11,2,15,"1,602",9.36,2,50.88,2,27,3,15,3,18.1,27.3,509.7,24.3,675.6,4.5,,3,95,82,113,5.5,23.5,19.2,5,0.8,23,19,20,19,22,36,24,40,4,2,3,2,5,7,7,10,5,1,12.77,38.5,34.2,7.1,1,21.5,14.5,10,18.7,93.7,-0.116,2,1.78,3.44,3.21,1.62,1.72,0.34,Other,Other,Quintile 5 (highest),102.0890052,102,-7.089005236,Underperforming,0
881,W01000914,Coedffranc Central 3,Neath Port Talbot 010C,W02000208,Neath Port Talbot 010,W06000012,Neath Port Talbot,C1,Urban,Large Town (Less Sparse),W38000135,Neath BUASD,WXX000002,111,6,7,3,16,"1,684",9.5,6,10,4,20,"1,667",12,38.5,3,9,0,12,"1,659",7.23,4,9,1,14,"1,638",8.55,2,45.59,2,29,2,16,2,18.3,30.5,448.9,31.5,707.1,8.1,,1,94,80,102,8.7,15.7,28.8,2,0,29,24,28,34,30,29,77,49,5,3,5,6,7,6,14,16,9,6,8.64,10.4,9.2,1.3,5,14.9,11.5,7.6,18.3,97,0.156,7,0.6,2.11,2.01,0.85,0.61,0.31,Other,Other,Quintile 3,102.0890052,102,-8.089005236,Underperforming,0
891,W01000924,Glyncorrwg,Neath Port Talbot 011C,W02000209,Neath Port Talbot 011,W06000012,Neath Port Talbot,D1,Rural,Small Town and Fringe (Less Sparse),Small,Dispersed (not in a BUA),WXX000002,85,6,6,1,13,993,13.09,4,4,3,11,999,11.01,47,8,3,1,12,"1,034",11.61,5,8,1,14,"1,028",13.62,2,29,2,25,2,18,3,17.1,30.8,375.6,28.6,428.4,3.2,,2,92,81,106,2.9,32,40.8,4,1.8,37,17,21,16,16,39,66,62,10,2,2,2,2,11,11,12,35,5,5.47,17.3,16.1,3.8,2,5,10,6.5,87.5,100,0.126,7,0.68,1.88,1.57,,,0.54,Other,Other,Quintile 5 (highest),102.0890052,102,-10.08900524,Underperforming,0
1651,W01001695,Adamsdown 2,Cardiff 036B,W02000402,Cardiff 036,W06000015,Cardiff,C1,Urban,Large Town (Less Sparse),W38000130,Cardiff BUASD,WXX000003,195,5,21,10,36,"4,595",7.83,11,22,5,38,"4,609",8.24,23.5,8,25,6,39,"4,478",8.71,16,29,4,49,"4,188",11.7,2,123.54,3,21,6,8,3,15.6,32.2,561.1,14,508.8,6.6,,1,91,79,108,8.7,21.5,27.7,2,9.1,24,18,24,20,19,32,26,40,3,2,3,3,3,8,5,12,6,1,15.24,14.5,12.3,3.1,1,24.8,14.4,9.6,18.1,100,-0.139,2,1.7,6.4,4.3,0.67,2.77,0.2,Consistently decreasing,Decreasing (2017-20),Quintile 2,102.0890052,102,-11.08900524,Underperforming,0
853,W01000886,Aberavon 4,Neath Port Talbot 017C,W02000215,Neath Port Talbot 017,W06000012,Neath Port Talbot,C1,Urban,Large Town (Less Sparse),W38000144,Port Talbot BUASD,WXX000002,148,14,18,3,35,"1,678",20.86,10,11,2,23,"1,690",13.61,37.2,10,18,2,30,"1,709",17.55,17,12,2,31,"1,659",18.69,1,66.66,1,37,1,26,1,18.6,35.4,687.4,27.4,675.1,6.8,,1,95,82,96,10,23.8,35.4,4,0,20,18,39,22,20,30,32,28,2,1,8,5,2,7,8,4,6,2,6.36,26.6,24.3,5.7,2,12.7,11.5,7.5,60.4,99.6,0.039,2,1.82,4.77,4.51,1.36,0.73,0.9,Other,Other,Quintile 5 (highest),100.5078534,101,-5.507853403,Underperforming,0
925,W01000958,Sandfields East 2,Neath Port Talbot 016B,W02000214,Neath Port Talbot 016,W06000012,Neath Port Talbot,C1,Urban,Large Town (Less Sparse),W38000144,Port Talbot BUASD,WXX000002,96,3,6,2,11,"1,661",6.62,6,9,1,16,"1,644",9.73,39.6,5,13,1,19,"1,654",11.49,1,7,4,12,"1,671",7.18,1,46.55,1,36,1,23,1,20.2,36.9,680.8,30.2,674.3,4.5,,1,95,81,99,7.8,15.4,40.6,4,0,22,19,34,22,21,22,29,32,2,2,7,3,2,2,3,12,3,5,9.03,10.6,9.2,1.5,6,9.4,10.7,7.2,2.1,45.7,0.084,4,1.36,3.02,2.77,0.78,0.33,,Consistently decreasing,Decreasing (2018-20),Quintile 2,100.5078534,101,-5.507853403,Underperforming,0
934,W01000967,Tai-bach 2,Neath Port Talbot 019C,W02000217,Neath Port Talbot 019,W06000012,Neath Port Talbot,C1,Urban,Large Town (Less Sparse),W38000144,Port Talbot BUASD,WXX000002,119,3,7,5,15,"1,503",9.98,10,11,1,22,"1,513",14.54,39.4,7,11,3,21,"1,522",13.8,2,7,1,10,"1,479",6.76,1,34.58,2,28,1,21,1,17.2,30.1,668.3,31.2,785.6,8.6,,1,95,84,96,10.4,21.9,27.1,9,0,19,17,19,20,23,22,46,31,2,1,2,3,2,3,17,8,7,5,4.63,21.6,19.5,4.7,2,13.4,12.3,7.8,45,95.9,0.1,3,1.37,2.89,2.53,1.58,0.47,0.79,Other,Other,Quintile 4,100.5078534,101,-5.507853403,Underperforming,0
1649,W01001693,Victoria 4,Newport 013E,W02000359,Newport 013,W06000022,Newport,C1,Urban,Large Town (Less Sparse),W38000147,Newport BUASD,WXX000003,198,11,26,10,47,"2,355",19.96,10,35,2,47,"2,303",20.41,33,7,30,5,42,"2,233",18.81,7,23,9,39,"2,133",18.28,1,48.6,2,28,2,17,1,25.9,27.7,563.7,18.3,642.6,5.9,,2,95,81,110,8.2,28.2,28.5,4,19.4,22,17,25,21,20,32,27,37,5,1,7,4,3,8,6,10,3,1,14.49,28,25.4,5.9,1,21,13.4,9.2,55.9,92.1,0.004,1,3.29,6.82,5.05,1.65,1.7,0.7,Other,Other,Quintile 5 (highest),100.5078534,101,-5.507853403,Underperforming,0
1236,W01001274,Tylorstown 1,Rhondda Cynon Taf 013B,W02000264,Rhondda Cynon Taf 013,W06000016,Rhondda Cynon Taf,C1,Urban,Large Town (Less Sparse),W38000085,Tylorstown BUASD,WXX000003,138,6,17,2,25,"1,280",19.53,9,14,4,27,"1,253",21.55,32.3,7,9,1,17,"1,239",13.72,8,9,3,20,"1,249",16.01,1,77.76,1,47,1,29,1,22.6,37.5,726.5,31.5,803,12.9,,1,94,80,97,10.9,21.2,41,2,10.5,22,20,24,22,21,34,28,53,4,3,5,3,4,12,7,18,14,2,9.75,21.1,19.2,3.9,4,7.6,11,7.3,40.1,100,0.146,1,2.2,5.22,4.78,1.33,0.53,1.56,Other,Other,Quintile 5 (highest),100.5078534,101,-6.507853403,Underperforming,0
797,W01000830,Penderry 1,Swansea 011A,W02000178,Swansea 011,W06000011,Swansea,C1,Urban,Large Town (Less Sparse),W38000128,Swansea BUASD,WXX000002,175,7,8,2,17,"1,826",9.31,9,11,0,20,"1,830",10.93,28,14,13,4,31,"1,854",16.72,7,13,1,21,"1,819",11.54,1,92.22,1,42,1,21,1,24,37.8,812.3,27.9,692.9,6.3,,1,93,80,102,9.6,13.8,44.8,2,0,29,21,26,25,23,31,38,34,5,2,3,3,2,7,9,9,6,7,12.4,5.3,4.9,0.6,8,9.4,10.7,7.3,6.6,84.4,0.124,1,1.95,4.7,5.94,1.44,0.45,1.51,Consistently decreasing,Decreasing (2018-20),Quintile 3,100.5078534,101,-7.507853403,Underperforming,0
1874,W01001924,Glanymor 4,Carmarthenshire 026H,W02000167,Carmarthenshire 026,W06000010,Carmarthenshire,C1,Urban,Large Town (Less Sparse),W38000094,Llanelli BUASD,WXX000002,134,5,8,2,15,"1,400",10.71,6,4,1,11,"1,398",7.87,35.7,8,8,2,18,"1,422",12.66,9,8,2,19,"1,344",14.14,1,62.55,1,33,1,22,2,18.9,29.3,502.7,27.9,579.4,5.3,,1,92,82,105,15.3,9.9,36,3,0.1,25,19,26,30,24,70,108,75,3,1,3,4,2,12,7,7,7,3,9,16.4,15.2,2.9,2,5.9,9.7,6.4,53.1,100,-0.292,1,2.72,5.18,7.33,1.71,0.5,0.73,Other,Other,Quintile 4,100.5078534,101,-8.507853403,Underperforming,0
834,W01000867,Townhill 6,Swansea 019F,W02000186,Swansea 019,W06000011,Swansea,C1,Urban,Large Town (Less Sparse),W38000128,Swansea BUASD,WXX000002,98,2,6,2,10,"1,325",7.55,6,8,1,15,"1,329",11.29,37.5,2,13,2,17,"1,340",12.69,2,13,1,16,"1,342",11.92,1,72.45,1,39,1,24,1,18.9,36.9,600.5,36.2,697.7,7.9,,1,91,83,104,10.1,20,42.5,3,0,27,20,31,20,22,20,20,40,4,2,6,2,3,3,2,11,8,3,12.47,11.3,10.1,1.7,8,10.5,11,7.6,2.1,100,0.115,3,1.57,2.78,3.54,,,0.52,Consistently decreasing,Decreasing (2018-20),Quintile 2,100.5078534,101,-9.507853403,Underperforming,0
1652,W01001696,Adamsdown 3,Cardiff 036C,W02000402,Cardiff 036,W06000015,Cardiff,C1,Urban,Large Town (Less Sparse),W38000130,Cardiff BUASD,WXX000003,126,2,23,8,33,"1,697",19.45,4,13,6,23,"1,677",13.71,31.1,8,6,4,18,"1,708",10.54,7,15,7,29,"1,664",17.43,1,69.54,1,37,1,20,1,18.8,31,607.9,26.4,756.7,7.1,,1,91,84,111,12.4,16.3,28.8,4,0,21,18,22,19,20,30,23,34,3,1,3,2,2,8,4,10,6,1,14.55,25.1,22.6,4.9,1,24.6,14.2,9.6,5,100,-0.119,1,3.13,5.83,6.28,1.48,2.37,0.53,Consistently increasing,Increasing (2018-20),Quintile 5 (highest),100.5078534,101,-9.507853403,Underperforming,0
888,W01000921,Cymmer (Neath Port Talbot) 2,Neath Port Talbot 011B,W02000209,Neath Port Talbot 011,W06000012,Neath Port Talbot,C1,Urban,Large Town (Less Sparse),Small,Dispersed (not in a BUA),WXX000002,110,7,8,1,16,"1,602",9.99,4,14,1,19,"1,594",11.92,39.5,7,12,2,21,"1,603",13.1,5,13,3,21,"1,533",13.7,1,59.78,1,38,1,27,1,21.9,40.3,627.5,31.4,659.8,7,,1,90,76,109,6.3,11.6,50.2,4,0.1,22,18,26,20,20,29,24,23,5,2,6,2,2,6,6,6,25,8,5.05,10.6,9.3,1.4,5,6.2,10.8,6.9,37.5,100,0.132,4,1.28,3.25,2.28,0.9,0.3,2.15,Consistently decreasing,Decreasing (2017-20),Quintile 4,100.5078534,101,-10.5078534,Underperforming,0
48,W01000051,Bala,Gwynedd 015A,W02000024,Gwynedd 015,W06000002,Gwynedd,D2,Rural,Small Town and Fringe (Sparse),Small,Dispersed (not in a BUA),WXX000001,124,2,13,2,17,"2,167",7.84,7,8,2,17,"2,122",8.01,42.6,7,21,4,32,"2,094",15.28,2,12,2,16,"2,035",7.86,7,29.04,5,14,6,9,6,14.5,19.4,409.4,19.1,594.9,5.9,,5,93,86,116,2.1,32.3,19.7,7,8.2,25,20,30,25,21,28,31,28,3,3,5,3,3,4,3,4,3,7,3.31,17.6,16,3.4,5,3.5,7.1,4.9,47.6,99.4,0.4,5,1.13,2.32,2.15,0.69,0.23,,Consistently decreasing,Decreasing (2018-20),Quintile 2,105.3403141,105,-12.34031414,Underperforming,0
1675,W01001721,Cathays 4,Cardiff 032A,W02000398,Cardiff 032,W06000015,Cardiff,C1,Urban,Large Town (Less Sparse),W38000130,Cardiff BUASD,WXX000003,29,1,6,2,9,"2,927",3.07,3,3,2,8,"2,999",2.67,21.5,1,4,0,5,"2,922",1.71,0,4,0,4,"3,050",1.31,5,12.6,10,5,10,2,6,18.3,19.8,334.5,14.7,610.8,2.6,,1,87,82,95,7.3,22.4,11.3,3,14.8,22,20,24,27,28,33,22,35,3,2,4,5,6,5,3,6,3,1,10.75,21.1,19.2,4.6,3,18,12.9,8.8,2.1,95.9,-0.033,8,0.51,1,1.79,0.38,0.79,,Consistently increasing,Increasing (2017-20),Quintile 1 (lowest),103.6368421,104,-16.63684211,Underperforming,0
1889,W01001939,Cathays 10,Cardiff 032F,W02000398,Cardiff 032,W06000015,Cardiff,C1,Urban,Large Town (Less Sparse),W38000130,Cardiff BUASD,WXX000003,55,1,7,1,9,"1,885",4.77,2,7,1,10,"1,661",6.02,25.1,5,5,1,11,"1,306",8.42,2,8,3,13,"1,262",10.3,5,3.01,10,2,10,2,10,12.4,12.3,365.4,11.6,439,7.4,,3,83,62,112,6.6,23.1,3.5,2,36.7,20,18,23,24,27,28,30,49,3,1,5,5,6,7,6,16,8,3,10.39,13.5,11.3,3.4,1,24.4,14.6,9.4,31,59.1,-0.149,1,13.06,76.84,125.91,2.01,25.51,3.01,Consistently decreasing,Decreasing (2017-20),Quintile 1 (lowest),103.6368421,104,-20.63684211,Underperforming,0
1893,W01001943,Butetown 4,Cardiff 048B,W02000422,Cardiff 048,W06000015,Cardiff,C1,Urban,Large Town (Less Sparse),W38000130,Cardiff BUASD,WXX000003,91,0,8,3,11,"1,673",6.58,3,4,1,8,"1,710",4.68,29.6,2,11,7,20,"1,664",12.02,3,2,5,10,"1,546",6.47,7,11.78,9,6,10,3,10,7.3,12.6,247.1,8.7,402.1,3.1,,2,91,81,92,7.9,30,5.1,7,3.4,24,21,29,25,21,33,35,63,4,3,7,5,5,10,10,17,7,10,7.01,3.3,3.1,0.1,1,22.3,13.6,8.9,23.3,82.4,-0.119,1,2.1,4.46,6.24,1.44,2.6,0.34,Other,Other,Quintile 2,105.3403141,105,-14.34031414,Underperforming,0
1895,W01001945,Grangetown 10,Cardiff 048D,W02000422,Cardiff 048,W06000015,Cardiff,C1,Urban,Large Town (Less Sparse),W38000123,Penarth BUASD,WXX000003,126,4,17,6,27,"2,491",10.84,5,22,7,34,"2,508",13.56,30.4,6,13,4,23,"2,342",9.82,3,22,8,33,"2,176",15.17,9,4.48,10,3,10,2,10,8.8,11.3,255,8.9,492.1,2.3,,5,90,70,127,8.9,33.3,3,8,0,27,20,33,31,30,42,28,53,5,3,12,11,9,12,4,18,4,9,6.45,5.8,5.5,0.9,2,13.7,11.5,7.8,30.3,78.7,-0.194,6,0.88,1.55,1.57,0.8,1.25,,Other,Other,Quintile 4,107.0104712,107,-17.0104712,Underperforming,0
